model_no,batch_size,embed_dim,class_weight,loss,accuracy,best_val_accuracy_in_history,best_val_loss_in_history,epochs_ran,saved_path
1,64,512,False,0.9129562973976135,0.7575136423110962,0.7575136423110962,0.796403706073761,29,./models/model_0.757514_model1_bat64_emb512.h5
1,64,512,True,0.9248182773590088,0.7588797807693481,0.7588797807693481,0.8152704834938049,37,./models/model_0.758880_model1_bat64_emb512_classW.h5
1,64,640,False,0.9173853993415833,0.7595628499984741,0.7595628499984741,0.8152210712432861,38,./models/model_0.759563_model1_bat64_emb640.h5
1,64,640,True,0.8848188519477844,0.7581967115402222,0.7581967115402222,0.8189446330070496,27,./models/model_0.758197_model1_bat64_emb640_classW.h5
1,64,768,False,0.9250777363777161,0.755464494228363,0.755464494228363,0.8345102071762085,29,./models/model_0.755464_model1_bat64_emb768.h5
1,64,768,True,0.8670163750648499,0.7527322173118591,0.7527322173118591,0.8397191166877747,23,./models/model_0.752732_model1_bat64_emb768_classW.h5
1,128,512,False,0.851200520992279,0.7547814249992371,0.7547814249992371,0.8512021899223328,24,./models/model_0.754781_model1_bat128_emb512.h5
1,128,512,True,0.9324808716773987,0.7465847134590149,0.7465847134590149,0.860365092754364,36,./models/model_0.746585_model1_bat128_emb512_classW.h5
1,128,640,False,0.9313079118728638,0.7520492076873779,0.7520492076873779,0.8294481039047241,48,./models/model_0.752049_model1_bat128_emb640.h5
1,128,640,True,0.8571374416351318,0.744535505771637,0.744535505771637,0.8571391105651855,25,./models/model_0.744536_model1_bat128_emb640_classW.h5
1,128,768,False,0.914863109588623,0.7540983557701111,0.7540983557701111,0.8374022841453552,29,./models/model_0.754098_model1_bat128_emb768.h5
1,128,768,True,0.8659916520118713,0.7459016442298889,0.7459016442298889,0.8488388657569885,23,./models/model_0.745902_model1_bat128_emb768_classW.h5
1,192,512,False,0.8612117171287537,0.7602459192276001,0.7602459192276001,0.8083499670028687,34,./models/model_0.760246_model1_bat192_emb512.h5
1,192,512,True,0.887229323387146,0.7547814249992371,0.7547814249992371,0.8119535446166992,29,./models/model_0.754781_model1_bat192_emb512_classW.h5
1,192,640,False,0.9435103535652161,0.7527322173118591,0.7527322173118591,0.9260432124137878,33,./models/model_0.752732_model1_bat192_emb640.h5
1,192,640,True,0.9548419117927551,0.7418032884597778,0.7418032884597778,0.941124439239502,41,./models/model_0.741803_model1_bat192_emb640_classW.h5
1,192,768,False,0.8937758803367615,0.743852436542511,0.743852436542511,0.8937727212905884,28,./models/model_0.743852_model1_bat192_emb768.h5
